#category_id,names
1 zh_CN:诈骗;zh_TW:詐騙;en_US:Fraudulent;ru_RU:Мошенник;uk_UA:Шахрай
2 zh_CN:中介;zh_TW:仲介;en_US:Intermediary;ru_RU:Посредник;uk_UA:Посередник
3 zh_CN:推销;zh_TW:推銷;en_US:Sales;ru_RU:Продавец;uk_UA:Продажі
4 zh_CN:送餐;zh_TW:送餐;en_US:Meal;ru_RU:Доставка еды;uk_UA:Доставка edи
5 zh_CN:快递;zh_TW:快遞;en_US:Courier;ru_RU:Курьер;uk_UA:Кур\'єр
6 zh_CN:理财保险;zh_TW:理财保险;en_US:Courier;ru_RU:Инвестиции и страхование;uk_UA:Інвестиції та страхування
7 zh_CN:响一声欺诈;zh_TW:响一声欺诈;en_US:Courier;ru_RU:Мошенник (пропущенные вызовы);uk_UA:Шахрай (пропущені виклики)
